"","B23006_001","B23006_002","B23006_003","B23006_004","B23006_005","B23006_006","B23006_007","B23006_008","B23006_009","B23006_010","B23006_011","B23006_012","B23006_013","B23006_014","B23006_015","B23006_016","B23006_017","B23006_018","B23006_019","B23006_020","B23006_021","B23006_022","B23006_023","B23006_024","B23006_025","B23006_026","B23006_027","B23006_028","B23006_029"
"Barnstable Town, MA Metro Area; Massachusetts",110611,5035,3442,0,3442,2889,553,1593,25943,20634,122,20512,19146,1366,5309,35229,28651,165,28486,26384,2102,6578,44404,36406,239,36167,34569,1598,7998
"Boston-Cambridge-Quincy, MA-NH Metro Area (part); Massachusetts",2251705,179636,115124,0,115124,100403,14721,64512,492529,386767,293,386474,349585,36889,105762,515358,427894,871,427023,395274,31749,87464,1064182,933077,1248,931829,895718,36111,131105
"Pittsfield, MA Metro Area; Massachusetts",68917,4649,2686,0,2686,2326,360,1963,21513,16702,60,16642,14922,1720,4811,20734,17161,8,17153,16124,1029,3573,22021,18942,18,18924,18153,771,3079
"Providence-New Bedford-Fall River, RI-MA Metro Area (part); Massachusetts",295251,43126,25074,7,25067,21455,3612,18052,86048,69367,59,69308,62247,7061,16681,83634,70874,152,70722,64746,5976,12760,82443,73676,157,73519,70009,3510,8767
"Springfield, MA Metro Area; Massachusetts",355512,39871,19824,0,19824,16521,3303,20047,101844,78324,88,78236,70677,7559,23520,103827,86057,361,85696,80114,5582,17770,109970,96292,108,96184,92594,3590,13678
"Worcester, MA Metro Area; Massachusetts",430559,36416,20797,0,20797,17534,3263,15619,115458,91362,122,91240,82685,8555,24096,120991,101986,191,101795,94425,7370,19005,157694,139583,253,139330,134117,5213,18111
"Albany-Schenectady-Troy, NY Metro Area; New York",464672,31856,19023,0,19023,15930,3093,12833,122368,93431,117,93314,86746,6568,28937,143805,120298,645,119653,113866,5787,23507,166643,145690,508,145182,141307,3875,20953
"Amsterdam, NY Micro Area; New York",25786,3567,1964,0,1964,1641,323,1603,8661,6595,0,6595,6077,518,2066,8875,7255,10,7245,6691,554,1620,4683,4175,29,4146,3966,180,508
"Auburn, NY Micro Area; New York",43456,5280,2618,0,2618,2338,280,2662,15152,11327,0,11327,10606,721,3825,14323,11478,33,11445,10785,660,2845,8701,7547,34,7513,7370,143,1154
"Batavia, NY Micro Area; New York",31829,1962,1330,0,1330,1202,128,632,11580,9174,10,9164,8403,761,2406,11250,9400,28,9372,8764,608,1850,7037,6031,5,6026,5888,138,1006
"Binghamton, NY Metro Area; New York",128523,10912,5870,0,5870,5162,708,5042,40432,30619,0,30619,28272,2347,9813,41531,33286,52,33234,31300,1934,8245,35648,31048,37,31011,30035,976,4600
"Buffalo-Niagara Falls, NY Metro Area; New York",593885,46036,23507,0,23507,19259,4248,22529,166163,119782,131,119651,109187,10464,46381,196227,157434,376,157058,146691,10367,38793,185459,159866,148,159718,154320,5398,25593
"Corning, NY Micro Area; New York",52204,4739,2519,0,2519,2025,494,2220,18277,13438,1,13437,12217,1220,4839,18026,13989,43,13946,13037,909,4037,11162,9337,0,9337,9063,274,1825
"Cortland, NY Micro Area; New York",23798,1849,996,0,996,900,96,853,8054,6154,0,6154,5712,442,1900,7804,6374,3,6371,5935,436,1430,6091,5211,3,5208,5044,164,880
"Elmira, NY Metro Area; New York",46767,4641,1851,0,1851,1476,375,2790,16302,11391,5,11386,10707,679,4911,15806,12225,14,12211,11584,627,3581,10018,8508,0,8508,8292,216,1510
"Glens Falls, NY Metro Area; New York",70780,6753,3730,0,3730,3209,521,3023,25619,18928,62,18866,17463,1403,6691,21984,17851,68,17783,17012,771,4133,16424,14202,52,14150,13601,549,2222
"Gloversville, NY Micro Area; New York",29803,4060,2255,0,2255,1845,410,1805,11372,8396,0,8396,7694,702,2976,9692,7962,21,7941,7432,509,1730,4679,3887,0,3887,3830,57,792
"Hudson, NY Micro Area; New York",34070,3449,2307,0,2307,2066,241,1142,9844,7681,0,7681,7016,665,2163,10579,8654,0,8654,8324,330,1925,10198,8694,8,8686,8289,397,1504
"Ithaca, NY Metro Area; New York",46179,2843,1898,0,1898,1627,271,945,8392,6437,0,6437,6079,358,1955,10754,8856,9,8847,8346,501,1898,24190,19550,33,19517,19082,435,4640
"Jamestown-Dunkirk-Fredonia, NY Micro Area; New York",67764,7263,3334,0,3334,2984,350,3929,22884,16449,15,16434,15137,1297,6435,22426,18069,30,18039,16972,1067,4357,15191,12966,0,12966,12555,411,2225
"Kingston, NY Metro Area; New York",100474,9955,5531,0,5531,4550,981,4424,27433,19882,37,19845,18536,1309,7551,32264,25979,129,25850,24392,1458,6285,30822,26173,0,26173,25119,1054,4649
"Malone, NY Micro Area; New York",29008,3914,1225,0,1225,986,239,2689,11094,6532,0,6532,6076,456,4562,8740,6506,0,6506,6085,421,2234,5260,4499,9,4490,4381,109,761
"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area (part); New York",6742211,1002075,633576,100,633476,561591,71885,368499,1610461,1189034,884,1188150,1092648,95502,421427,1559839,1256631,1979,1254652,1156200,98452,303208,2569836,2220935,1432,2219503,2113184,106319,348901
"Ogdensburg-Massena, NY Micro Area; New York",55264,5443,2523,0,2523,2183,340,2920,20531,14343,18,14325,13079,1246,6188,18037,13579,93,13486,12402,1084,4458,11253,9367,46,9321,8971,350,1886
"Olean, NY Micro Area; New York",41379,4052,2287,0,2287,1944,343,1765,16746,12610,0,12610,11519,1091,4136,12830,10200,12,10188,9481,707,2630,7751,6659,19,6640,6417,223,1092
"Oneonta, NY Micro Area; New York",29930,2881,1686,0,1686,1476,210,1195,9760,7734,0,7734,7142,592,2026,9019,7416,0,7416,6935,481,1603,8270,7120,3,7117,6918,199,1150
"Plattsburgh, NY Micro Area; New York",44656,5749,2251,0,2251,1921,330,3498,16346,10880,5,10875,9952,923,5466,12296,10066,32,10034,9448,586,2230,10265,8598,11,8587,8370,217,1667
"Poughkeepsie-Newburgh-Middletown, NY Metro Area; New York",351840,34656,20732,0,20732,18364,2368,13924,96650,72262,108,72154,67249,4905,24388,107363,87996,591,87405,82193,5212,19367,113171,97338,577,96761,93134,3627,15833
"Rochester, NY Metro Area; New York",551589,50273,25554,0,25554,21863,3691,24719,141279,106263,25,106238,98676,7562,35016,171581,139308,242,139066,130133,8933,32273,188456,161507,109,161398,155801,5597,26949
"Seneca Falls, NY Micro Area; New York",19069,2754,971,0,971,933,38,1783,6192,4505,21,4484,4236,248,1687,6361,4787,3,4784,4567,217,1574,3762,3141,0,3141,3051,90,621
"Syracuse, NY Metro Area; New York",341485,30610,16893,0,16893,14768,2125,13717,98167,72667,92,72575,67039,5536,25500,107940,88041,241,87800,83050,4750,19899,104768,91071,198,90873,88293,2580,13697
"Utica-Rome, NY Metro Area; New York",155183,16146,8057,0,8057,6910,1147,8089,49614,35276,13,35263,32914,2349,14338,53557,42329,204,42125,39952,2173,11228,35866,30563,56,30507,29690,817,5303
"Watertown-Fort Drum, NY Micro Area; New York",58966,5827,2895,67,2828,2266,562,2932,20412,14817,1416,13401,12198,1203,5595,20158,16195,1882,14313,13340,973,3963,12569,10620,1237,9383,9090,293,1949
