"variable","FIPS","areaname","state","value"
"P0010001",10700,"Albertville, AL Micro Area","01","93019"
"P0010001",10760,"Alexander City, AL Micro Area","01","53155"
"P0010001",11500,"Anniston-Oxford, AL Metro Area","01","118572"
"P0010001",12220,"Auburn-Opelika, AL Metro Area","01","140247"
"P0010001",13820,"Birmingham-Hoover, AL Metro Area","01","1128047"
"P0010001",17980,"Columbus, GA-AL Metro Area (part)","01","52947"
"P0010001",18980,"Cullman, AL Micro Area","01","80406"
"P0010001",19300,"Daphne-Fairhope-Foley, AL Micro Area","01","182265"
"P0010001",19460,"Decatur, AL Metro Area","01","153829"
"P0010001",20020,"Dothan, AL Metro Area","01","145639"
"P0010001",21460,"Enterprise-Ozark, AL Micro Area","01","100199"
"P0010001",21640,"Eufaula, AL-GA Micro Area (part)","01","27457"
"P0010001",22520,"Florence-Muscle Shoals, AL Metro Area","01","147137"
"P0010001",22840,"Fort Payne, AL Micro Area","01","71109"
"P0010001",23460,"Gadsden, AL Metro Area","01","104430"
"P0010001",26620,"Huntsville, AL Metro Area","01","417593"
"P0010001",33660,"Mobile, AL Metro Area","01","412992"
"P0010001",33860,"Montgomery, AL Metro Area","01","374536"
"P0010001",42460,"Scottsboro, AL Micro Area","01","53227"
"P0010001",42820,"Selma, AL Micro Area","01","43820"
"P0010001",45180,"Talladega-Sylacauga, AL Micro Area","01","82291"
"P0010001",45980,"Troy, AL Micro Area","01","32899"
"P0010001",46220,"Tuscaloosa, AL Metro Area","01","219461"
"P0010001",46260,"Tuskegee, AL Micro Area","01","21452"
"P0010001",46740,"Valley, AL Micro Area","01","34215"
"P0010001",11260,"Anchorage, AK Metro Area","02","380821"
"P0010001",21820,"Fairbanks, AK Metro Area","02","97581"
"P0010001",27940,"Juneau, AK Micro Area","02","31275"
"P0010001",28540,"Ketchikan, AK Micro Area","02","13477"
"P0010001",28980,"Kodiak, AK Micro Area","02","13592"
"P0010001",22380,"Flagstaff, AZ Metro Area","04","134421"
"P0010001",29420,"Lake Havasu City-Kingman, AZ Metro Area","04","200186"
"P0010001",35700,"Nogales, AZ Micro Area","04","47420"
"P0010001",37740,"Payson, AZ Micro Area","04","53597"
"P0010001",38060,"Phoenix-Mesa-Glendale, AZ Metro Area","04","4192887"
"P0010001",39140,"Prescott, AZ Metro Area","04","211033"
"P0010001",40940,"Safford, AZ Micro Area","04","45657"
"P0010001",43320,"Show Low, AZ Micro Area","04","107449"
"P0010001",43420,"Sierra Vista-Douglas, AZ Micro Area","04","131346"
"P0010001",46060,"Tucson, AZ Metro Area","04","980263"
"P0010001",49740,"Yuma, AZ Metro Area","04","195751"
"P0010001",11660,"Arkadelphia, AR Micro Area","05","22995"
"P0010001",12900,"Batesville, AR Micro Area","05","36647"
"P0010001",14180,"Blytheville, AR Micro Area","05","46480"
"P0010001",15780,"Camden, AR Micro Area","05","31488"
"P0010001",20980,"El Dorado, AR Micro Area","05","41639"
"P0010001",22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area (part)","05","440121"
"P0010001",22620,"Forrest City, AR Micro Area","05","28258"
"P0010001",22900,"Fort Smith, AR-OK Metro Area (part)","05","205817"
"P0010001",25460,"Harrison, AR Micro Area","05","45233"
"P0010001",25760,"Helena-West Helena, AR Micro Area","05","21757"
"P0010001",26260,"Hope, AR Micro Area","05","31606"
"P0010001",26300,"Hot Springs, AR Metro Area","05","96024"
"P0010001",27860,"Jonesboro, AR Metro Area","05","121026"
"P0010001",30780,"Little Rock-North Little Rock-Conway, AR Metro Area","05","699757"
"P0010001",31620,"Magnolia, AR Micro Area","05","24552"
"P0010001",32820,"Memphis, TN-MS-AR Metro Area (part)","05","50902"
"P0010001",34260,"Mountain Home, AR Micro Area","05","41513"
"P0010001",37500,"Paragould, AR Micro Area","05","42090"
"P0010001",38220,"Pine Bluff, AR Metro Area","05","100258"
"P0010001",40780,"Russellville, AR Micro Area","05","83939"
