AUDONTD156N,Month,Year,,,,,,,
1/2/2001,1,2001,5.9825,,,,1,2001,6.123665455
1/3/2001,1,2001,5.9625,,,,2,2001,5.6659075
1/4/2001,1,2001,6.1525,,,,3,2001,5.428396818
1/5/2001,1,2001,6.15125,,,,4,2001,4.984047895
1/8/2001,1,2001,6.12,,,,5,2001,4.972620476
1/9/2001,1,2001,6.11094,,,,6,2001,4.991920476
1/10/2001,1,2001,6.14125,,,,7,2001,4.972429091
1/11/2001,1,2001,6.25,,,,8,2001,4.919375909
1/12/2001,1,2001,6.25,,,,9,2001,4.693829
1/15/2001,1,2001,6.22188,,,,10,2001,4.436168261
1/16/2001,1,2001,6.16844,,,,11,2001,4.420611364
1/17/2001,1,2001,6.1325,,,,12,2001,4.233784737
1/18/2001,1,2001,6.14375,,,,1,2002,4.224332727
1/19/2001,1,2001,6.1225,,,,2,2002,4.248954
1/22/2001,1,2001,6.11875,,,,3,2002,4.22822
1/23/2001,1,2001,6.10344,,,,4,2002,4.243379048
1/24/2001,1,2001,6.13406,,,,5,2002,4.445101818
1/25/2001,1,2001,6.13,,,,6,2002,4.817517778
1/26/2001,1,2001,6.12625,,,,7,2002,4.791426957
1/29/2001,1,2001,6.11,,,,8,2002,4.766592381
1/30/2001,1,2001,6.06813,,,,9,2002,4.75730619
1/31/2001,1,2001,6.02,,,,10,2002,4.75726913
2/1/2001,2,2001,5.9725,,,,11,2002,4.761414762
2/2/2001,2,2001,5.96688,,,,12,2002,4.7644835
2/5/2001,2,2001,5.79313,,,,1,2003,4.750568182
2/6/2001,2,2001,5.67125,,,,2,2003,4.732625
2/7/2001,2,2001,5.59063,,,,3,2003,4.7325
2/8/2001,2,2001,5.59063,,,,4,2003,4.731125
2/9/2001,2,2001,5.52813,,,,5,2003,4.727
2/12/2001,2,2001,5.5125,,,,6,2003,4.703571429
2/13/2001,2,2001,5.55,,,,7,2003,4.738586957
2/14/2001,2,2001,5.63625,,,,8,2003,4.756375
2/15/2001,2,2001,5.6425,,,,9,2003,4.792840909
2/16/2001,2,2001,5.63625,,,,10,2003,4.787934783
2/19/2001,2,2001,5.6175,,,,11,2003,5.005125
2/20/2001,2,2001,5.6225,,,,12,2003,5.337380952
2/21/2001,2,2001,5.60625,,,,1,2004,5.339642857
2/22/2001,2,2001,5.59844,,,,2,2004,5.28225
2/23/2001,2,2001,5.62375,,,,3,2004,5.292608696
2/26/2001,2,2001,5.65906,,,,4,2004,5.402625
2/27/2001,2,2001,5.7625,,,,5,2004,5.322105263
2/28/2001,2,2001,5.7375,,,,6,2004,5.352227273
3/1/2001,3,2001,5.75,,,,7,2004,5.277613636
3/2/2001,3,2001,5.7575,,,,8,2004,5.238928571
3/5/2001,3,2001,5.75,,,,9,2004,5.260568182
3/6/2001,3,2001,5.64375,,,,10,2004,5.246666667
3/7/2001,3,2001,5.47219,,,,11,2004,5.255227273
3/8/2001,3,2001,5.5,,,,12,2004,5.241666667
3/9/2001,3,2001,5.46719,,,,1,2005,5.288875
3/12/2001,3,2001,5.42438,,,,2,2005,5.3075
3/13/2001,3,2001,5.3925,,,,3,2005,5.519047619
3/14/2001,3,2001,5.34219,,,,4,2005,5.5525
3/15/2001,3,2001,5.35938,,,,5,2005,5.563
3/16/2001,3,2001,5.34375,,,,6,2005,5.544431818
3/19/2001,3,2001,5.28063,,,,7,2005,5.526468095
3/20/2001,3,2001,5.295,,,,8,2005,5.507159091
3/21/2001,3,2001,5.28563,,,,9,2005,5.497727273
3/22/2001,3,2001,5.275,,,,10,2005,5.491071429
3/23/2001,3,2001,5.34438,,,,11,2005,5.508181818
3/26/2001,3,2001,5.38438,,,,12,2005,5.503
3/27/2001,3,2001,5.3875,,,,1,2006,5.501785714
3/28/2001,3,2001,5.38,,,,2,2006,5.47925
3/29/2001,3,2001,5.3675,,,,3,2006,5.489565217
3/30/2001,3,2001,5.22188,,,,4,2006,5.4775
4/2/2001,4,2001,5.12875,,,,5,2006,5.681785714
4/3/2001,4,2001,5.08063,,,,6,2006,5.763977273
4/4/2001,4,2001,4.85875,,,,7,2006,5.749047619
4/5/2001,4,2001,4.87375,,,,8,2006,5.982670455
4/6/2001,4,2001,4.90438,,,,9,2006,6.02875
4/9/2001,4,2001,4.88875,,,,10,2006,5.999545455
4/10/2001,4,2001,4.89375,,,,11,2006,6.221761364
4/11/2001,4,2001,4.93625,,,,12,2006,6.241184211
4/12/2001,4,2001,4.96719,,,,1,2007,6.217613636
4/17/2001,4,2001,4.9875,,,,2,2007,6.240125
4/18/2001,4,2001,4.98438,,,,3,2007,6.237045455
4/19/2001,4,2001,4.96438,,,,4,2007,6.206184211
4/20/2001,4,2001,5.01,,,,5,2007,6.185714286
